generations_used,score,time,num_pop,mutation_rate,num_queens
58141,28,455.68,10,0.05,8
681,28,4.49,10,0.05,8
166,28,1.05,10,0.05,8
642,28,4.87,10,0.05,8
3242,28,24.06,10,0.05,8
45,28,2.02,50,0.05,8
5,28,0.21,50,0.05,8
56,28,2.06,50,0.05,8
4,28,0.17,50,0.05,8
37,28,1.35,50,0.05,8
9,28,0.79,100,0.05,8
41,28,3.49,100,0.05,8
1,28,0.13,100,0.05,8
2,28,0.26,100,0.05,8
4,28,0.33,100,0.05,8
4379,28,48.69,10,0.01,8
4110,28,32.01,10,0.01,8
2350,28,26.35,10,0.01,8
6043,28,53.12,10,0.01,8
3691,28,29.67,10,0.01,8
8,28,0.59,50,0.01,8
576,28,23.13,50,0.01,8
4,28,0.33,50,0.01,8
6,28,0.77,50,0.01,8
2256,28,96.10,50,0.01,8
5,28,0.20,50,0.01,8
4,28,0.44,100,0.01,8
378,28,32.64,100,0.01,8
70,28,5.41,100,0.01,8
4,28,0.31,100,0.01,8
429,28,40.92,100,0.01,8
101,45,0.92,10,0.05,10
24,45,0.15,10,0.05,10
588,45,5.08,10,0.05,10
89,45,0.64,10,0.05,10
1464,45,10.78,10,0.05,10
751,45,56.06,50,0.05,10
3111,45,144.93,50,0.05,10
232,45,9.10,50,0.05,10
6180,45,288.15,50,0.05,10
54,45,5.11,100,0.05,10
10,45,1.12,100,0.05,10
4,45,0.42,100,0.05,10
4,45,0.41,100,0.05,10
9,45,0.97,100,0.05,10
9,45,0.39,100,0.05,10
13197,45,107.59,10,0.01,10
4624,45,39.29,10,0.01,10
5656,45,52.24,10,0.01,10
6004,45,67.32,10,0.01,10
4385,45,46.13,10,0.01,10
753,66,5.93,10,0.05,12
6033,66,51.02,10,0.05,12
2088,66,15.43,10,0.05,12
121,55,0.91,10,0.05,12
27,66,0.20,10,0.05,12
392,66,18.05,50,0.05,12
150,66,7.71,50,0.05,12
165,66,7.68,50,0.05,12
755,66,38.07,50,0.05,12
53,66,2.35,50,0.05,12
730,66,88.71,100,0.05,12
563,66,68.07,100,0.05,12
15,66,1.78,100,0.05,12
92,66,10.82,100,0.05,12
122,66,13.88,100,0.05,12
753,66,5.93,10,0.01,12
6033,66,51.02,10,0.01,12
2088,66,15.43,10,0.01,12
121,55,0.91,10,0.01,12
27,66,0.20,10,0.01,12
392,66,18.05,50,0.01,12
150,66,7.71,50,0.01,12
165,66,7.68,50,0.01,12
755,66,38.07,50,0.01,12
53,66,2.35,50,0.01,12
730,66,88.71,100,0.01,12
563,66,68.07,100,0.01,12
15,66,1.78,100,0.01,12
92,66,10.82,100,0.01,12
122,66,13.88,100,0.01,12
24233,45,1083.23,50,0.01,10
19820,45,1344.08,50,0.01,10
0,45,0.0,50,0.01,4
11,45,0.33,50,0.05,8
6,45,0.23,50,0.05,8
