generation,score,time,num_pop,mutation_rate,n_cities
10,False,0.03,10,0.05,10
10,False,0.04,10,0.05,10
10,False,0.03,10,0.05,10
10,False,0.02,10,0.05,10
10,False,0.05,10,0.05,10
10,False,0.04,10,0.05,10
10,False,0.04,10,0.05,10
10,False,0.03,10,0.05,10
10,False,0.04,10,0.05,10
10,False,0.02,10,0.05,10
10,False,0.04,10,0.05,10
100,False,0.24,10,0.05,10
1000,False,3.24,10,0.05,10
1000,False,4.59,10,0.05,10
1000,False,4.15,10,0.05,10
5000,False,15.41,10,0.05,10
5000,False,20.24,10,0.05,10
5000,False,9.11,10,0.05,10
5000,False,11.68,10,0.05,10
5000,False,13.87,10,0.05,10
5000,False,13.45,10,0.05,10
5000,False,16.99,10,0.05,10
5000,False,21.2,10,0.05,10
100,False,0.02,10,0.05,10
100,False,0.16,10,0.05,10
10,?,0.06,10,0.1,4
100,?,0.48,10,0.1,4
1000,?,2.91,10,0.1,4
1000,?,3.01,10,0.1,4
1000,?,3.53,10,0.1,4
1000,?,5.38,10,0.1,4
100,?,0.65,10,0.1,4
100,?,0.3,10,0.1,10
100,?,0.51,10,0.1,10
100,?,0.67,10,0.1,10
1000,?,4.29,10,0.1,10
1000,?,3.34,10,0.1,10
